REGULATING_AGENCY,WATER_SYSTEM_NUMBER,WATER_SYSTEM_NAME,CLASSIFICATION,POPULATION,SERVICE_CONNECTIONS,COUNTY,CITY,ZIPCODE,VIOLATION_NUMBER,VIOLATION_TYPE_NAME,ANALYTE_NAME,RESULT,MCL,VIOL_BEGIN_DATE,VIOL_END_DATE,ENF_ACTION_NUMBER,ENF_ACTION_ISSUE_DATE,ENF_ACTION_TYPE_ISSUED
DISTRICT 10 - STOCKTON,CA0310012,AWA BUCKHORN PLANT,COMMUNITY,8809,2755,AMADOR,JACKSON,95642,9310004,"MCL, LRAA",TTHM,0.094 MG/L,0.080 MG/L,10/1/16,12/31/16,9810005,1/5/17,FORMAL ENFORCEMENT ACTION ISSUED
LPA34 - BUTTE COUNTY,CA0400063,MANZANITA ELEMENTARY SCHOOL,NON-TRANSIENT NON-COMMUNITY,295,3,BUTTE,GRIDLEY,95948,1100002,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE", , ,1/1/18,3/31/18,1300408,4/26/18,FORMAL ENFORCEMENT ACTION ISSUED
LPA34 - BUTTE COUNTY,CA0400081,FEATHER RIDGE ESTATES WATER CO,COMMUNITY,12,32,BUTTE,BERRY CREEK,95916,1400008,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE", , ,4/1/18,6/30/18,1400500,7/24/18,INFORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 10 - STOCKTON,CA0510012,CAMANCHE SOUTH SHORE-EBMUD,COMMUNITY,180,448,CALAVERAS,"VALLEY SPRINGS,",95252,9310003,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.067 MG/L,0.060 MG/L,4/1/16,6/30/16,9910006,5/24/16,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221008,"MCL,  AVERAGE",ARSENIC,.02580000 MG/L,0.010 MG/L,7/1/12,9/30/12,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221009,"MCL,  AVERAGE",ARSENIC,25.6 UG/L,10 UG/L,10/1/12,12/31/12,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221010,"MCL,  AVERAGE",ARSENIC,24.7 UG/L,10 UG/L,1/1/13,3/31/13,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221011,"MCL,  AVERAGE",ARSENIC,24.6 UG/L,10 UG/L,4/1/13,6/30/13,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221012,"MCL,  AVERAGE",ARSENIC,25.2 UG/L,10 UG/L,7/1/13,9/30/13,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221013,"MCL,  AVERAGE",ARSENIC,24.6 UG/L,10 UG/L,10/1/13,12/31/13,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221014,"MCL,  AVERAGE",ARSENIC,24.3 UG/L,10 UG/L,1/1/14,3/31/14,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221015,"MCL,  AVERAGE",ARSENIC,24.1 UG/L,10 UG/L,7/1/14,9/30/14,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221016,"MCL,  AVERAGE",ARSENIC,23.6 UG/L,10 UG/L,10/1/14,12/31/14,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221017,"MCL,  AVERAGE",ARSENIC,24.0 UG/L,10 UG/L,4/1/15,6/30/15,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221023,"MCL,  AVERAGE",ARSENIC,26.1 UG/L,10 UG/L,1/1/12,3/31/12,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221024,"MCL,  AVERAGE",ARSENIC,25.8 UG/L,10 UG/L,4/1/12,6/30/12,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221025,"MCL,  AVERAGE",ARSENIC,23.8 UG/L,10 UG/L,1/1/15,3/31/15,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221026,"MCL,  AVERAGE",ARSENIC,24.0 UG/L, ,10/1/15,12/31/15,9621006,1/15/16,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221030,"MCL,  AVERAGE",ARSENIC,24 UG/L,10 UG/L,1/1/16,3/31/16,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221031,"MCL,  AVERAGE",ARSENIC,24 UG/L,10 UG/L,4/1/16,6/30/16,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221032,"MCL,  AVERAGE",ARSENIC,24 UG/L,10 UG/L,7/1/16,9/30/16,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221033,"MCL,  AVERAGE",ARSENIC,24 UG/L,10 UG/L,10/1/16,12/31/16,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221034,"MCL,  AVERAGE",ARSENIC,25 UG/L,10 UG/L,1/1/17,3/31/17,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221035,"MCL,  AVERAGE",ARSENIC,24 UG/L,10 UG/L,4/1/17,6/30/17,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221036,"MCL,  AVERAGE",ARSENIC,26 UG/L,10 UG/L,7/1/17,9/30/17,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221037,"MCL,  AVERAGE",ARSENIC,24 UG/L,10 UG/L,10/1/17,12/31/17,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221038,"MCL,  AVERAGE",ARSENIC,23 UG/L,10 UG/L,1/1/18,3/31/18,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221039,"MCL,  AVERAGE",ARSENIC,25.1 UG/L,10 UG/L,4/1/18,6/30/18,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
LPA39 - EL DORADO COUNTY,CA0900102,GOLD BEACH PARK,COMMUNITY,100,50,EL DORADO,EL DORADO,95623,1600006,"MCL,  AVERAGE",ARSENIC,11 MG/L,0.010 MG/L,10/1/15,12/31/15,9700080,8/15/17,FORMAL ENFORCEMENT ACTION ISSUED
LPA39 - EL DORADO COUNTY,CA0900102,GOLD BEACH PARK,COMMUNITY,100,50,EL DORADO,EL DORADO,95623,1600006,"MCL,  AVERAGE",ARSENIC,11 MG/L,0.010 MG/L,10/1/15,12/31/15,9700079,1/20/16,INFORMAL ENFORCEMENT ACTION ISSUED
LPA39 - EL DORADO COUNTY,CA0900102,GOLD BEACH PARK,COMMUNITY,100,50,EL DORADO,EL DORADO,95623,1600007,"MCL,  AVERAGE",ARSENIC,10 UG/L,5 UG/L,4/1/14,4/30/14,9700080,8/15/17,FORMAL ENFORCEMENT ACTION ISSUED
LPA39 - EL DORADO COUNTY,CA0900102,GOLD BEACH PARK,COMMUNITY,100,50,EL DORADO,EL DORADO,95623,1600007,"MCL,  AVERAGE",ARSENIC,10 UG/L,5 UG/L,4/1/14,4/30/14,1601606,7/28/16,INFORMAL ENFORCEMENT ACTION ISSUED
LPA39 - EL DORADO COUNTY,CA0900102,GOLD BEACH PARK,COMMUNITY,100,50,EL DORADO,EL DORADO,95623,1600008,"MCL,  AVERAGE",ARSENIC,18 UG/L, ,1/1/16,12/31/16,9700081,11/29/17,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000004,BELMONT WATER CORPORATION,COMMUNITY,264,40,FRESNO,FRESNO,93727,9700002,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.024 UG/L,0.005 UG/L,1/1/18,3/31/18,9700114,6/21/18,CA STATE ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,1223022,"MCL,  AVERAGE",TTHM,.09600000 MG/L,0.080 MG/L,1/1/12,3/31/12,9800162,11/7/14,STATE INTENTIONAL NO ACTION TAKEN
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,1223022,"MCL,  AVERAGE",TTHM,.09600000 MG/L,0.080 MG/L,1/1/12,3/31/12,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,1223022,"MCL,  AVERAGE",TTHM,.09600000 MG/L,0.080 MG/L,1/1/12,3/31/12,912164,10/30/08,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,1223023,"MCL,  AVERAGE",TTHM,.11600000 MG/L,0.080 MG/L,4/1/12,6/30/12,912164,10/30/08,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,1223023,"MCL,  AVERAGE",TTHM,.11600000 MG/L,0.080 MG/L,4/1/12,6/30/12,9800162,11/7/14,STATE INTENTIONAL NO ACTION TAKEN
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,1223023,"MCL,  AVERAGE",TTHM,.11600000 MG/L,0.080 MG/L,4/1/12,6/30/12,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,1223024,"MCL,  AVERAGE",TTHM,.12600000 MG/L,0.080 MG/L,7/1/12,9/30/12,912164,10/30/08,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,1223024,"MCL,  AVERAGE",TTHM,.12600000 MG/L,0.080 MG/L,7/1/12,9/30/12,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,1223024,"MCL,  AVERAGE",TTHM,.12600000 MG/L,0.080 MG/L,7/1/12,9/30/12,9800162,11/7/14,STATE INTENTIONAL NO ACTION TAKEN
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800002,"MCL,  AVERAGE",TTHM,0.160 MG/L,0.080 MG/L,10/1/12,12/31/12,912164,10/30/08,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800002,"MCL,  AVERAGE",TTHM,0.160 MG/L,0.080 MG/L,10/1/12,12/31/12,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800002,"MCL,  AVERAGE",TTHM,0.160 MG/L,0.080 MG/L,10/1/12,12/31/12,9800162,11/7/14,STATE INTENTIONAL NO ACTION TAKEN
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800003,"MCL,  AVERAGE",TTHM,0.163 MG/L,0.080 MG/L,1/1/13,3/31/13,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800003,"MCL,  AVERAGE",TTHM,0.163 MG/L,0.080 MG/L,1/1/13,3/31/13,9800162,11/7/14,STATE INTENTIONAL NO ACTION TAKEN
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800003,"MCL,  AVERAGE",TTHM,0.163 MG/L,0.080 MG/L,1/1/13,3/31/13,912164,10/30/08,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800004,"MCL,  AVERAGE",TTHM,0.163 MG/L,0.080 MG/L,4/1/13,6/30/13,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800004,"MCL,  AVERAGE",TTHM,0.163 MG/L,0.080 MG/L,4/1/13,6/30/13,9800162,11/7/14,STATE INTENTIONAL NO ACTION TAKEN
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800004,"MCL,  AVERAGE",TTHM,0.163 MG/L,0.080 MG/L,4/1/13,6/30/13,912164,10/30/08,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800005,"MCL,  AVERAGE",TTHM,0.160 MG/L,0.080 MG/L,7/1/13,9/30/13,9800162,11/7/14,STATE INTENTIONAL NO ACTION TAKEN
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800005,"MCL,  AVERAGE",TTHM,0.160 MG/L,0.080 MG/L,7/1/13,9/30/13,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800005,"MCL,  AVERAGE",TTHM,0.160 MG/L,0.080 MG/L,7/1/13,9/30/13,912164,10/30/08,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800006,"MCL,  AVERAGE",TTHM,0.153 MG/L,0.080 MG/L,10/1/13,12/31/13,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800006,"MCL,  AVERAGE",TTHM,0.153 MG/L,0.080 MG/L,10/1/13,12/31/13,912164,10/30/08,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800006,"MCL,  AVERAGE",TTHM,0.153 MG/L,0.080 MG/L,10/1/13,12/31/13,9800162,11/7/14,STATE INTENTIONAL NO ACTION TAKEN
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800007,"MCL,  AVERAGE",TTHM,0.138 MG/L,0.080 MG/L,1/1/14,3/31/14,9800162,11/7/14,STATE INTENTIONAL NO ACTION TAKEN
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800007,"MCL,  AVERAGE",TTHM,0.138 MG/L,0.080 MG/L,1/1/14,3/31/14,912164,10/30/08,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800007,"MCL,  AVERAGE",TTHM,0.138 MG/L,0.080 MG/L,1/1/14,3/31/14,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800008,"MCL, LRAA",TTHM,0.360 MG/L,0.080 MG/L,4/1/14,6/30/14,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800008,"MCL, LRAA",TTHM,0.360 MG/L,0.080 MG/L,4/1/14,6/30/14,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800009,"MCL, LRAA",TTHM,0.250 MG/L,0.080 MG/L,7/1/14,9/30/14,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800009,"MCL, LRAA",TTHM,0.250 MG/L,0.080 MG/L,7/1/14,9/30/14,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800010,"MCL, LRAA",TTHM,0.220 MG/L,0.080 MG/L,10/1/14,12/31/14,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800010,"MCL, LRAA",TTHM,0.220 MG/L,0.080 MG/L,10/1/14,12/31/14,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800011,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.075 MG/L,0.060 MG/L,7/1/14,9/30/14,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800011,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.075 MG/L,0.060 MG/L,7/1/14,9/30/14,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800012,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.0837 MG/L,0.060 MG/L,10/1/14,12/31/14,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800012,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.0837 MG/L,0.060 MG/L,10/1/14,12/31/14,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800013,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.094 MG/L,0.060 MG/L,1/1/15,3/31/15,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800013,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.094 MG/L,0.060 MG/L,1/1/15,3/31/15,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800014,"MCL, LRAA",TTHM,0.245 MG/L,0.080 MG/L,1/1/15,3/31/15,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800014,"MCL, LRAA",TTHM,0.245 MG/L,0.080 MG/L,1/1/15,3/31/15,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800015,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.080 MG/L,0.060 MG/L,4/1/15,6/30/15,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
